茅蜩,ひぐらし
蘭草,ふじばかま
鮎魚女,あいなめ
海星,ひとで
海参,いりこ
連枷,からさお
山毛欅,ぶな
草石蚕,ちょろぎ
獅子女,すふぃんくす
耶悉茗,じゃすみん
牡蠣,かき
沢瀉,おもだか
卓袱台,ちゃぶだい
蜥蜴,とかげ
天鵞絨,びろーど
秧鶏,くいな
梔子,くちなし
只管,ひたすら
玄鳥,つばめ
風信子,ひやしんす
裲襠,うちかけ
竹麦魚,ほうぼう
金縷梅,まんさく
金雀児,えにしだ
三鞭酒,しゃんぱん
細魚,さより
蕃椒,とうがらし
鳳蝶,あげはちょう
覆盆子,いちご
南風,はえ
縮緬,ちりめん
海鼠腸,このわた
石斑魚,うぐい
罌粟,けし
牽牛花,あさがお
辛夷,こぶし
厚皮香,もっこく
猟虎,らっこ
冬青,そよご
吃逆,しゃっくり
海鷂魚,えい
蝦虎魚,はぜ
交喙,いすか
朱欒,ざぼん
自鳴琴,おるごーる
年魚,あゆ
鴨脚樹,いちょう
木賊,とくさ
金糸雀,かなりあ
天蚕糸,てぐす
羚羊,かもしか
海胆,うに
青竜蝦,しゃこ
蜀魂,ほととぎす
踏鞴,たたら
紫丁香花,らいらっく
苜蓿,うまごやし
雲雀,ひばり
孑孑,ぼうふら
直衣,のうし
萵苣,ちさ
木瓜,ぼけ
百日紅,さるすべり
羊歯,しだ
莫大小,めりやす
大口魚,たら
栄螺,さざえ
草烏頭,とりかぶと
土筆,つくし
狗母鳥,えそ
虎耳草,ゆきのした
浮塵子,うんか
胡蜂,すずめばち
蝦蛄,しゃこ
水雲,もずく
飯匙倩,はぶ
山桜桃,ゆすらうめ
軍鶏,しゃも
守宮,やもり
青花魚,さば
羊駝,らま
杜若,かきつばた
土瀝青,あすふぁると
海鼠,なまこ
後朝,きぬぎぬ
澪標,みおつくし
馬尾藻,ほんだわら
老海鼠,ほや
告天子,ひばり
馬陸,やすで
虎落,もがり
朱鷺,とき
鳶尾,いちはつ
香蕈,しいたけ
塘蒿,せろり
酢漿草,かたばみ
螽斯,きりぎりす
樹懶,なまけもの
生絹,すずし
褞袍,どてら
吹螺,ほらがい
紅絹,もみ
天糸瓜,へちま
瞿麦,なでしこ
長尾驢,かんがるー
蚊母鳥,よたか
水鶏,くいな
満天星,どうだんつつじ
燕子花,かきつばた
秋桜,こすもす
九十九折,つづらおり
掏摸,すり
山茶花,さざんか
角子,みずら
驀地,まっしぐら
玉蜀黍,とうもろこし
花楸樹,ななかまど
狼煙,のろし
仏掌薯,つくねいも
鶤鶏,とうまる
胡頽子,ぐみ
蝙蝠,こうもり
面皰,にきび
豆娘,いととんぼ
海鞘,ほや
大角豆,ささげ
醤蝦,あみ
沙蚕,ごかい
酸漿,ほおずき
小火,ぼや
胼胝,たこ
翌檜,あすなろ
菟葵,いそぎんちゃく
洋墨,いんく
雪花菜,おから
紅娘,てんとうむし
飛白,かすり
躑躅,つつじ
泛子,うき
蟀谷,こめかみ
羊栖菜,ひじき
蟒蛇,うわばみ
瓊脂,ところてん
鬼灯,ほおずき
白地,あからさま
鱠残魚,しらうお
蟾蜍,ひきがえる
山葵,わさび
膃肭臍,おっとせい
石竜子,とかげ
水爬虫,たがめ
檸檬,れもん
木菟,みみずく
海扇,ほたてがい
蝌蚪,おたまじゃくし
鼓子花,ひるがお
儒艮,じゅごん
木天蓼,またたび
型録,かたろぐ
木乃伊,みいら
凌霄花,のうぜんかずら
牛膝,いのこずち
蕃瓜樹,ぱぱいや
紫薇,さるすべり
糸葱,あさつき
海嘯,つなみ
鬼頭魚,しいら
鶏魚,いさき
矮鶏,ちゃぼ
聒聒児,くつわむし
螻蛄,おけら
紙撚,こより
梅花皮,かいらぎ
石決明,あわび
哨吶,ちゃるめら
牛尾魚,こち
鹿尾菜,ひじき
信天翁,あほうどり
燭魚,はたはた
瓢虫,てんとうむし
覇王樹,さぼてん
合歓,ねむ
鷦鷯,みそさざい
油漆,ぺんき
虎魚,おこぜ
舎人,とねり
繁縷,はこべ
公魚,わかさぎ
仕舞屋,しもたや
鉄漿,おはぐろ
蒲公英,たんぽぽ
不如帰,ほととぎす
鳩尾,みぞおち
蚯蚓,みみず
豪猪,やまあらし
鳳梨,ぱいなっぷる
黄櫨,はぜのき
坩堝,るつぼ
金翅雀,ひわ
海狸,びーばー
堅魚,かつお
善知鳥,うとう
山梔子,くちなし
木通,あけび
生姜,しょうが
零余子,むかご
杜宇,ほととぎす
鹹草,あしたば
角鴟,みみずく
枸橘,からたち
蛤仔,あさり
仙人掌,さぼてん
海驢,あしか
時鳥,ほととぎす
八仙花,あじさい
天牛,かみきりむし
木槿,むくげ
蜈蚣,むかで
海蘿,ふのり
二合半,こなから
冬眠鼠,やまね
胡孫眼,さるのこしかけ
翻車魚,まんぼう
羅漢柏,あすなろ
水手,かこ
河豚,ふぐ
葦雀,よしきり
三和土,たたき
旗魚,かじき
鉄葉,ぶりき
虎杖,いたどり
蕪菁,かぶら
文身,いれずみ
魚籠,びく
馬酔木,あしび
通草,あけび
海豹,あざらし
馴鹿,となかい
黄楊,つげ
熨斗,のし
雲脂,ふけ
弥撒,みさ
映日果,いちじく
慈姑,くわい
殺陣,たて
野木瓜,むべ
滷汁,にがり
日照雨,そばえ
石榴,ざくろ
玉筋魚,いかなご
東雲,しののめ
柳葉魚,ししゃも
忍冬,すいかずら
甘蕉,ばなな
燐寸,まっち
珠鶏,ほろほろちょう
翻筋斗,もんどり
壁蝨,だに
苹果,りんご
